26.138224,20.606123,56.249851
26.687883,22.139868,56.249847
25.065769,21.710241,56.249851
9.168328,-29.067678,56.250435
10.713319,-28.489159,56.250835
9.625913,-27.251253,56.253941
32.707516,24.379353,56.248474
30.812847,24.213829,56.248886
31.748516,22.751574,56.248707
-49.953579,16.850870,56.266495
-48.883495,17.769217,56.265808
-50.328373,18.555811,56.266415
24.272404,31.660759,56.250210
25.589310,30.739578,56.249931
25.323420,30.740135,54.679047
34.628918,-6.236760,56.248459
36.591995,-5.000659,56.248016
35.070225,-3.979123,56.248333
29.374666,-19.202799,56.249763
27.457954,-18.981846,56.250172
28.227678,-20.306240,56.250023
37.808975,-1.637378,56.247704
36.769699,-3.014345,56.247952
38.797997,-2.655304,56.247501
28.845076,-13.554914,56.249847
29.474298,-15.055573,56.249687
30.501362,-13.821296,56.249451
23.469072,21.314817,56.249535
24.497736,20.221428,56.249191
34.162033,19.980019,56.248260
35.336624,18.538719,56.247623
36.022873,20.385908,56.246861
38.260365,4.953179,56.247528
38.299217,6.823963,56.247490
36.973083,5.731052,56.247795
12.447930,-26.118698,56.253613
11.161495,-27.138773,56.253761
12.184019,-28.183578,56.253506
-50.491875,10.459745,54.759384
-50.886856,11.826398,55.232555
-50.533684,12.006642,53.838608
-10.687871,-14.005637,56.258381
-11.935739,-12.448461,56.258621
-12.645555,-13.816773,56.258793
19.348177,-26.796612,56.251354
19.507761,-24.623789,56.251965
17.884741,-25.546959,56.252529
26.989004,27.801739,56.249664
28.018118,28.747076,56.249432
26.810318,29.765209,56.249680
-16.136076,44.968449,53.792526
-16.397673,44.783848,55.092785
-15.062659,44.108768,54.767727
28.213949,-14.786106,56.249969
31.111298,-15.446237,56.249332
30.035404,-16.605080,56.249584
15.861995,33.643688,56.252003
18.124830,33.408642,56.251514
17.181738,35.305134,56.251690
22.172178,-18.054186,56.251339
20.610849,-18.943180,56.251709
22.063417,-19.906834,56.251381
30.047350,23.174633,56.249062
30.380150,26.648415,56.248936
29.783516,25.732275,56.249088
31.575937,25.512814,56.248699
-51.484066,18.496618,54.403507
-51.776855,17.593939,56.266548
-51.642113,19.469486,56.265736
-44.113342,-0.715569,56.265236
-46.105446,-1.186412,56.265869
-44.883293,-2.394725,56.265633
15.732002,35.702324,56.252003
14.161241,36.078430,56.252335
14.578358,34.699863,56.252270
-27.941084,-26.350235,56.262119
-27.413179,-27.934864,56.262165
-26.661943,-26.086147,56.261124
20.683279,-26.096855,56.251751
21.115248,-24.502581,56.251629
-9.329271,-4.150511,56.257969
-8.060954,-2.573589,56.257801
-9.567847,-2.267052,56.258026
36.395817,7.194507,56.247898
37.200600,8.551070,56.247696
38.859615,8.286288,56.247341
38.533073,9.588189,56.247398
4.512673,-20.215015,49.011894
6.216778,-20.628181,49.427757
5.487887,-20.902611,48.113190
18.899290,-9.226256,22.514748
19.256058,-10.339327,24.069483
19.869066,-9.019590,23.892076
1.286775,-19.516264,46.749893
1.765259,-18.904530,48.872223
2.913312,-19.930552,47.963730
26.588255,13.251011,36.077579
27.355497,13.230636,37.567814
26.418882,14.880108,37.378708
8.733096,27.283783,50.520725
7.181389,27.094648,50.738056
7.967004,27.138805,49.088207
11.785548,27.127752,47.980114
