subject,split,momentum_rmse,z_1,z_2,z_3,z_4
01,train,0.3279840277036276,-0.40555113554000854,0.8199583888053894,-1.984053134918213,-1.166844129562378
02,train,0.3550914741198345,-0.8177912831306458,0.6980089545249939,-2.4932467937469482,-0.6437382698059082
03,train,0.4237276914437876,-1.5467363595962524,0.7475400567054749,-3.673699140548706,0.22346097230911255
04,train,0.3551193420882842,-1.2491024732589722,0.7056854963302612,-3.3224329948425293,-0.019201748073101044
05,train,0.39611076538213963,2.061555862426758,0.7916620373725891,1.692960500717163,-4.076418876647949
06,train,0.29959562263472,1.7547554969787598,0.7387566566467285,1.4955520629882812,-3.7601730823516846
07,train,0.2760674586201883,0.8748274445533752,0.6872132420539856,0.14963343739509583,-2.7858779430389404
08,validation,0.27929591687727373,-0.843733012676239,0.715951144695282,-2.412719964981079,-0.7107172012329102
09,train,0.3087406294968062,0.06228533759713173,0.9609066843986511,-1.6035715341567993,-1.4681329727172852
10,test,0.35215861460801223,-1.1891154050827026,0.7486467361450195,-3.0953028202056885,-0.2238646149635315
11,validation,0.3471675070181963,-0.27842339873313904,0.9265261888504028,-2.0061583518981934,-1.182927131652832
12,train,0.29256246547718506,1.508335828781128,0.8138275742530823,1.0062103271484375,-3.4970786571502686
13,validation,0.3005224727845916,-0.7079941630363464,0.7805070281028748,-2.398502826690674,-0.7563037872314453
14,train,0.40456090445298143,-1.3912869691848755,0.5721405744552612,-3.069390058517456,0.029823966324329376
15,test,0.33429581344314996,0.5182300209999084,0.6914884448051453,0.02618112415075302,-2.5297415256500244
16,test,0.23409421293697144,-0.4840199649333954,0.7663465142250061,-1.6292561292648315,-1.2494969367980957
17,train,0.254899079332403,0.26724740862846375,0.5575161576271057,-0.4836999773979187,-2.206329584121704
18,train,0.39389341678015205,1.3720017671585083,0.8431604504585266,1.3067307472229004,-3.4779303073883057
19,train,0.314865634575883,0.06291481852531433,0.7178313136100769,-0.6501272320747375,-2.063091993331909
20,train,0.30602907379142863,1.0748578310012817,0.6339215636253357,0.36640605330467224,-3.1132466793060303
