epoch,beta,train_mse,train_kl,validation_mse,validation_kl
1,4e-06,1.0372119290488107,0.1547831424645015,0.7668392658233643,0.1589520424604416
2,8e-06,1.0254823310034615,0.35916474035808016,0.7633638381958008,0.36187881231307983
3,1.2e-05,1.0218604973384313,0.5653539555413383,0.7577688694000244,0.5689439177513123
4,1.6e-05,1.0026932103293282,0.9165224177496774,0.7363617420196533,0.9247002601623535
5,2e-05,0.9988653659820557,1.1960941553115845,0.7325939536094666,1.2066340446472168
6,2.4e-05,0.9998616235596793,1.2596176522118705,0.7344284653663635,1.2556538581848145
7,2.8e-05,0.9968841757093158,1.1638005801609583,0.7324762940406799,1.161266565322876
8,3.2e-05,0.9939023341451373,1.0678047026906694,0.7296841740608215,1.0666162967681885
9,3.6e-05,0.9919045482363019,1.0486435209001814,0.7277302145957947,1.0386956930160522
10,4e-05,0.9901090094021389,1.1033945424216134,0.7283952236175537,1.0915361642837524
11,4.4e-05,0.9878367526190621,1.19296429838453,0.7310923933982849,1.2075423002243042
12,4.8e-05,0.9838554688862392,1.2770117350987025,0.7273391485214233,1.135899305343628
13,5.2e-05,0.9806741986955915,1.357593195778983,0.7280738949775696,1.168418526649475
14,5.6e-05,0.9764186995370048,1.4178322213036674,0.7301797866821289,1.2395524978637695
15,6e-05,0.9703758784702846,1.5164810929979597,0.7260599136352539,1.3160617351531982
16,6.4e-05,0.9630991050175258,1.7088744299752372,0.7232991456985474,1.5765193700790405
17,6.800000000000001e-05,0.9543295076915196,1.960364512034825,0.7159696221351624,1.7490875720977783
18,7.2e-05,0.9461696062769208,2.2037319796425954,0.7133839726448059,2.0886664390563965
19,7.6e-05,0.9395358051572528,2.2459190913609097,0.7099093198776245,1.8451154232025146
20,8e-05,0.9302367568016052,2.2761150768824985,0.7134878635406494,2.193697690963745
21,8.400000000000001e-05,0.9225243500300816,2.229881661278861,0.7110995054244995,1.961145281791687
22,8.8e-05,0.9144508157457624,2.4048645155770436,0.7110438346862793,2.175196409225464
23,9.2e-05,0.9083355665206909,2.6868996960776195,0.7033605575561523,2.3105289936065674
24,9.6e-05,0.9011127608163017,2.828983579363142,0.6990311741828918,2.495871067047119
25,0.0001,0.8970782075609479,3.029569012778146,0.7054785490036011,2.8052706718444824
26,0.000104,0.8883715186800275,3.238962854657854,0.7024852633476257,2.866213321685791
27,0.000108,0.8883475320679801,3.3374742780412947,0.6992111206054688,2.840043783187866
28,0.000112,0.8856137309755597,3.4195166655949185,0.7197472453117371,3.262725353240967
29,0.00011600000000000001,0.8734778676714215,3.4181503568376814,0.6931295990943909,2.774266004562378
